title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Dream for an Insomniac,1996,Elbo Room (647 Valencia Street),"This location is called the ""Café Blue Eyes"" in the film.",Triton Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye,Jennifer Aniston,,CA,San Francisco,POINT (-122.4214116 37.7625064),9,2024-12-18T14:30:38.000,Mission,-122.4214116,2024-12-06T12:17:47.000,37.7625064
"Murder in the First, Season 1",2014,Berry Street between 3rd and 4th Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3964021 37.7733908),6,2024-12-18T14:30:38.000,Mission Bay,-122.3964021,2024-12-06T12:17:47.000,37.7733908
The Graduate,1967,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Katharine Ross,CA,San Francisco,POINT (-122.3648992 37.8102258),6,2024-12-18T14:30:38.000,Treasure Island,-122.3648992,2024-12-06T12:17:47.000,37.8102258
Terminator - Genisys,2015,California between Leavenworth and Powell,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4157509 37.8084354),3,2024-12-18T14:30:38.000,North Beach,-122.4157509,2024-12-06T12:17:47.000,37.8084354
"Murder in the First, Season 2",2015,Embarcadero Street at Washington Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3952588 37.7967391),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3952588,2024-12-06T12:17:47.000,37.7967391
Boys and Girls,2000,Lombard Street,Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4195579 37.8020179),3,2024-12-18T14:30:38.000,Russian Hill,-122.4195579,2024-12-06T12:17:47.000,37.8020179
The Bachelor,1999,Sutter-Stockton Garage (330 Sutter Street at Stockton),Garage roof serves as a heliport in the movie,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,CA,San Francisco,POINT (-122.4059383 37.7896863),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4059383,2024-12-06T12:17:47.000,37.7896863
Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4286026 37.7865123),5,2024-12-18T14:30:38.000,Japantown,-122.4286026,2024-12-06T12:17:47.000,37.7865123
"Murder in the First, Season 1",2014,373 Columbus Avenue,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.4078311 37.7984875),3,2024-12-18T14:30:38.000,Chinatown,-122.4078311,2024-12-06T12:17:47.000,37.7984875
"Looking ""Special""",2016,Castro Street between 17th & 18th,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4347947 37.7625346),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4347947,2024-12-06T12:17:47.000,37.7625346
Goliath- Season 4,2021,Union at Jasper Place,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.4083888 37.8005521),3,2024-12-18T14:30:38.000,North Beach,-122.4083888,2024-12-06T12:17:47.000,37.8005521
Steve Jobs,2015,Powell St. from California St. to Sutter St.,,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,CA,San Francisco,POINT (-122.4093236 37.7920732),3,2024-12-18T14:30:38.000,Nob Hill,-122.4093236,2024-12-06T12:17:47.000,37.7920732
Super Pumped: The Battle for Uber,2022,"650 Howard Street at New Montgomery, Gold Club",,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,CA,San Francisco,POINT (-122.3996934 37.7859444),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3996934,2024-12-06T12:17:47.000,37.7859444
San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street),,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4027468 37.7950185),3,2024-12-18T14:30:38.000,Chinatown,-122.4027468,2024-12-06T12:17:47.000,37.7950185
Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,CA,San Francisco,POINT (-122.4043707 37.8018125),3,2024-12-18T14:30:38.000,North Beach,-122.4043707,2024-12-06T12:17:47.000,37.8018125
Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,CA,San Francisco,POINT (-122.4085114 37.7890687),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4085114,2024-12-06T12:17:47.000,37.7890687
A Jitney Elopement,1915,Golden Gate Park,"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"".",The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,CA,San Francisco,POINT (-122.482977 37.7689203),4,2024-12-18T14:30:38.000,Golden Gate Park,-122.482977,2024-12-06T12:17:47.000,37.7689203
Hulk,2003,Telegraph Hill,"Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,CA,San Francisco,POINT (-122.4052612 37.8009425),3,2024-12-18T14:30:38.000,North Beach,-122.4052612,2024-12-06T12:17:47.000,37.8009425
The Diary of a Teenage Girl,2015,Yerba Buena Island,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.3668348 37.8108709),6,2024-12-18T14:30:38.000,Treasure Island,-122.3668348,2024-12-06T12:17:47.000,37.8108709
Birth of the Dragon,2016,Hyde at Union,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,CA,San Francisco,POINT (-122.4190741 37.7992119),3,2024-12-18T14:30:38.000,Russian Hill,-122.4190741,2024-12-06T12:17:47.000,37.7992119
Alive,2020,Embarcadero near Pier 14,,CBS Corporation - CBS Studios Inc./CBS Television Studios,CBS,Uta Briesewitz,Jason Tracey,Ryan Phillippe,Mageina Tovah,Katrina Law,CA,San Francisco,POINT (-122.3908828 37.7938381),,2024-12-18T14:30:38.000,,-122.3908828,2024-12-06T12:17:47.000,37.7938381
Getting Even with Dad,1994,Embarcadero Street Station- BART,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,CA,San Francisco,POINT (-122.3978612 37.7995205),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3978612,2024-12-06T12:17:47.000,37.7995205
The Other Sister,1999,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,,CA,San Francisco,POINT (-122.39658 37.79021),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.39658,2024-12-06T12:17:47.000,37.79021
Looking Season 2 ep 205,2015,24th Between Portrero & Alabama,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.40645 37.75264),9,2024-12-18T14:30:38.000,Mission,-122.40645,2024-12-06T12:17:47.000,37.75264
180,2011,City Hall,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
Bicentennial Man,1999,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,CA,San Francisco,POINT (-122.4133739 37.7918593),3,2024-12-18T14:30:38.000,Nob Hill,-122.4133739,2024-12-06T12:17:47.000,37.7918593
Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley),,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,CA,San Francisco,POINT (-122.4327956 37.7763888),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4327956,2024-12-06T12:17:47.000,37.7763888
Tales of the City,2019,Grant and Green St,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.4075285 37.7998307),3,2024-12-18T14:30:38.000,North Beach,-122.4075285,2024-12-06T12:17:47.000,37.7998307
Pushing Dead,2016,"Double Happiness Health, 3380 20th Street",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4166513 37.758967),9,2024-12-18T14:30:38.000,Mission,-122.4166513,2024-12-06T12:17:47.000,37.758967
Looking,2014,Sutro Baths,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.51365 37.7804444),1,2024-12-18T14:30:38.000,Outer Richmond,-122.51365,2024-12-06T12:17:47.000,37.7804444
The Caine Mutiny,1954,The Embarcadero,,Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer,CA,San Francisco,POINT (-122.3976732 37.7992627),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3976732,2024-12-06T12:17:47.000,37.7992627
What's Up Doc?,1972,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand,Ryan O'Neal,,CA,San Francisco,POINT (-122.4101808 37.8016649),3,2024-12-18T14:30:38.000,North Beach,-122.4101808,2024-12-06T12:17:47.000,37.8016649
Chance- Season 1 ep110,2016,18 Urbano,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4631201 37.7247067),7,2024-12-18T14:30:38.000,West of Twin Peaks,-122.4631201,2024-12-06T12:17:47.000,37.7247067
Bullitt,1968,1153-57 Taylor Street,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,POINT (-122.4108571 37.7829286),5,2024-12-18T14:30:38.000,Tenderloin,-122.4108571,2024-12-06T12:17:47.000,37.7829286
The Love Bug,1968,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,David Tomlinson,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
Chance - Season 1 ep105,2016,Maiden Lane between Kearny and Grant,,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4053532 37.7882182),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4053532,2024-12-06T12:17:47.000,37.7882182
George of the Jungle,1997,The Tamalpais Building (1201 Greenwich Street at Hyde),,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,CA,San Francisco,POINT (-122.4197304 37.8007671),3,2024-12-18T14:30:38.000,Russian Hill,-122.4197304,2024-12-06T12:17:47.000,37.8007671
The Towering Inferno,1974,2898 Vallejo Street,,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,CA,San Francisco,POINT (-122.4448975 37.7942406),2,2024-12-18T14:30:38.000,Pacific Heights,-122.4448975,2024-12-06T12:17:47.000,37.7942406
